R1_Ia,R1_Ib,R1_Ic,R1_Ia_ang,R1_Ib_ang,R1_Ic_ang,R1_I0,R1_I1,R1_I2,R2_Ia,R2_Ib,R2_Ic,R2_Ia_ang,R2_Ib_ang,R2_Ic_ang,R2_I0,R2_I1,R2_I2,VA_a,VA_b,VA_c,VA_V0,VA_V2,VB_a,VB_b,VB_c,VB_V0,VB_V2,fault,fault_type,zone,distance_km,Rf,load_factor,correct_relay,t_R1,t_R2,coordinated
11808.673257574283,99.5317694929159,101.33254925397422,-82.23754698076552,-154.946667862061,85.3777599788343,3907.2254848924176,3956.2575692832347,3901.5812286120954,29.915936922401222,30.438672311646574,30.408014387419247,-33.938134918953416,-153.40752966425003,86.26260440339199,3.5221854779307462e-15,30.28459305642641,4.748454074482287e-15,8430.855848122568,81626.46718757528,81184.25233287213,28941.254287140804,19663.94634340255,116.8862022953598,82959.02991462749,83472.56392632729,34322.07615566161,21105.334498283577,1,AG,1,1.0,0.01,0.6,R1,0.27636350398891657,-1.0,True
11865.66332211598,163.660726988473,166.44866720404883,-82.69617044602671,-155.58250492313522,84.26673007727635,3926.2738255849004,4058.9274762886234,3897.7903498896253,48.47686770943831,48.48453096847504,49.20565924772108,-34.954756472997694,-155.05480642444684,84.34086158775624,3.560961705881976e-15,48.944644939355456,2.3921276771667095e-15,8430.269028528317,81849.8446153938,81886.80110900021,29159.36726414931,19482.615597297397,117.80613634041232,82101.85265958305,83499.75682425367,33979.75712662608,20894.140794044673,1,AG,1,1.0,0.01,1.0,R1,0.27601104659230924,-1.0,True
11806.234979799467,195.7077400683356,191.15557785689415,-81.91006128753317,-156.8173264539898,83.85666591682502,3908.5878596517177,4059.6245525125114,3929.9905952520057,58.30646713958139,57.64580645817872,57.580076200955865,-35.54690362755327,-156.0715437306227,83.3862652701492,0.0,57.315654831636216,1.1901254588533756e-15,8369.343037491028,82231.14063462464,80987.10514310583,29185.872893606105,19547.97996683153,116.7049624471669,83696.46145115668,83213.05846928322,34016.39613672747,20948.213436255417,1,AG,1,1.0,0.01,1.2,R1,0.2763786409113382,-1.0,True
11311.293583075625,101.06754825844045,100.10564786491666,-74.31090623385641,-153.73077693828122,86.2521153202807,3815.797542355154,3863.6034851241784,3774.5301740554914,30.14927503258371,29.664203705844134,29.73668666783649,-34.632500073911224,-154.4697736815348,86.22873684562768,3.5205446005420506e-15,30.059224440032057,4.8567175531135506e-15,15614.706377195858,83159.27712702191,79236.24547296873,28247.70180954674,18691.293879246507,11333.172934650207,85231.69483759513,80579.329916336,33307.49895424082,20475.325539020636,1,AG,1,1.0,1.0,0.6,R1,0.2795527039269219,-1.0,True
11429.943592258121,160.60219022452938,163.07620810972668,-74.39544274438308,-155.21004545292217,84.68454251416215,3851.292256744739,3908.6285219971774,3751.7791702651357,48.975243603070716,48.9951511466486,49.55207423335152,-34.90882793564213,-155.1479480290247,85.40526788701037,3.5104803311610464e-15,48.57484087704081,2.364791268781112e-15,15609.449565887822,81413.99399776188,80490.99338133419,28242.95063276686,18593.018932882645,11256.237970912296,84786.44064314268,82682.88504852388,33825.61361200504,21021.971653761782,1,AG,1,1.0,1.0,1.0,R1,0.2787728742167977,-1.0,True
11570.659838901258,190.91703968014275,188.71399697425701,-73.91228592230924,-156.38236211583714,83.81642980172819,3767.3736246420594,3937.4165229403598,3830.9824033641867,57.93838404302722,57.75576897412681,57.24843514707562,-36.81323304053402,-156.21904552271855,83.997217156409,0.0,57.92289591732739,1.195875866611865e-15,15592.292556169834,81572.27820519124,79211.05156810711,28100.571240695306,19272.22277893819,11278.321000429221,85230.15744836353,81255.29657934146,33472.370733241376,20505.396873728037,1,AG,1,1.0,1.0,1.2,R1,0.2778637583325722,-1.0,True
8877.154786948378,100.53676419795046,99.91919142311933,-47.835035183363644,-154.19864200790474,85.41604685038185,2893.7287591789227,3034.0005607903386,2977.473631299183,30.22160346577918,30.13753153830447,30.259571930898744,-33.318149396880614,-153.86145901705214,85.8233861168491,3.592016949129824e-15,30.302698759743027,4.868057700749128e-15,46175.04493534213,81916.64624277427,74749.68147631522,22249.795587930923,14843.811166855028,43888.881914067315,84821.5490639171,77340.43484373567,25360.815735243603,15654.340153613799,1,AG,1,1.0,5.0,0.6,R1,0.29892193638782794,-1.0,True
9010.081467056507,162.31562357812942,162.95032029984498,-48.066616739280235,-155.15759628420014,85.37735737205715,2933.842719161014,3110.1520862734333,2871.0931172173505,48.863782790185134,48.475365005648676,48.291751593361674,-35.76545974206379,-155.49344527894985,85.13156771257859,3.5055907432827536e-15,48.90257504925854,2.3753511041505018e-15,45939.56463406006,83763.73279104018,76194.38149112977,22181.168821268104,14569.742970398118,43661.8218421173,84957.21381946951,76411.27470379876,25689.996172665207,15624.381922809396,1,AG,1,1.0,5.0,1.0,R1,0.2976598260603397,-1.0,True
8990.22409153811,193.26519927130002,197.67944000160142,-47.01834519913945,-156.40251324346144,83.88041675104331,2888.2912765770366,3101.4666142037167,2940.438480120437,58.54509191672941,57.42577828697566,57.46912772456219,-37.04953608305117,-156.05722452845433,83.49290122588837,0.0,57.34029296917276,1.1831216000471949e-15,45280.44369461653,81715.4726354308,77400.2454893006,21606.636694833847,14432.242765396553,44775.46328280472,87621.42623414188,75333.38466813277,25550.27804572089,15849.619247177696,1,AG,1,1.0,5.0,1.2,R1,0.29784652948357343,-1.0,True
6272.766636403167,99.5852034686319,100.33106726586385,-30.615498103678785,-153.7537672305011,85.84077169665095,2019.204705107493,2093.1753421458975,2017.0948257557523,30.092950697473484,30.2433820542412,30.005767963440345,-33.73538100646145,-153.46479235882416,86.1065643961002,3.5652105768377565e-15,30.189367408101177,4.794431046967591e-15,61541.68630093745,81468.1701858851,74288.13795276303,15414.508563230065,10224.016453954055,60891.35872691874,82293.90121345143,73237.72548316278,17900.233346795267,10924.358327277232,1,AG,1,1.0,10.0,0.6,R1,0.3316598099353149,-1.0,True
