zone,position,fault_type,fault_raw,R1_A_fault_mag,R1_A_fault_ang,R1_A_fault_rms,R1_A_fault_peak,R1_A_fault_crest,R1_B_fault_mag,R1_B_fault_ang,R1_B_fault_rms,R1_B_fault_peak,R1_B_fault_crest,R1_C_fault_mag,R1_C_fault_ang,R1_C_fault_rms,R1_C_fault_peak,R1_C_fault_crest,R2_A_fault_mag,R2_A_fault_ang,R2_A_fault_rms,R2_A_fault_peak,R2_A_fault_crest,R2_B_fault_mag,R2_B_fault_ang,R2_B_fault_rms,R2_B_fault_peak,R2_B_fault_crest,R2_C_fault_mag,R2_C_fault_ang,R2_C_fault_rms,R2_C_fault_peak,R2_C_fault_crest,R3_A_fault_mag,R3_A_fault_ang,R3_A_fault_rms,R3_A_fault_peak,R3_A_fault_crest,R3_B_fault_mag,R3_B_fault_ang,R3_B_fault_rms,R3_B_fault_peak,R3_B_fault_crest,R3_C_fault_mag,R3_C_fault_ang,R3_C_fault_rms,R3_C_fault_peak,R3_C_fault_crest,RE_A_fault_mag,RE_A_fault_ang,RE_A_fault_rms,RE_A_fault_peak,RE_A_fault_crest,RE_B_fault_mag,RE_B_fault_ang,RE_B_fault_rms,RE_B_fault_peak,RE_B_fault_crest,RE_C_fault_mag,RE_C_fault_ang,RE_C_fault_rms,RE_C_fault_peak,RE_C_fault_crest,SE_A_fault_mag,SE_A_fault_ang,SE_A_fault_rms,SE_A_fault_peak,SE_A_fault_crest,SE_B_fault_mag,SE_B_fault_ang,SE_B_fault_rms,SE_B_fault_peak,SE_B_fault_crest,SE_C_fault_mag,SE_C_fault_ang,SE_C_fault_rms,SE_C_fault_peak,SE_C_fault_crest,V_R1_A_fault_mag,V_R1_A_fault_ang,V_R1_B_fault_mag,V_R1_B_fault_ang,V_R1_C_fault_mag,V_R1_C_fault_ang,V_R2_A_fault_mag,V_R2_A_fault_ang,V_R2_B_fault_mag,V_R2_B_fault_ang,V_R2_C_fault_mag,V_R2_C_fault_ang,V_R3_A_fault_mag,V_R3_A_fault_ang,V_R3_B_fault_mag,V_R3_B_fault_ang,V_R3_C_fault_mag,V_R3_C_fault_ang,V_RE_A_fault_mag,V_RE_A_fault_ang,V_RE_B_fault_mag,V_RE_B_fault_ang,V_RE_C_fault_mag,V_RE_C_fault_ang,V_SE_A_fault_mag,V_SE_A_fault_ang,V_SE_B_fault_mag,V_SE_B_fault_ang,V_SE_C_fault_mag,V_SE_C_fault_ang,R1_fault_I0,R1_fault_I1,R1_fault_I2,R2_fault_I0,R2_fault_I1,R2_fault_I2,R1_fault_rms_std,R1_fault_rms_max,R1_fault_rms_min,R1_fault_rms_ratio,R2_fault_rms_std,R2_fault_rms_max,R2_fault_rms_min,R2_fault_rms_ratio
1,25,AG,LG,2430.1181225356268,-115.98729723729183,1718.5233181497392,2449.982263193069,1.4256322491049236,2432.3532327856547,124.05171297966672,1719.965541173526,2432.4439389547524,1.414239925583105,2432.6847657695757,4.045591058250932,1720.0827571610373,2432.443895667241,1.4141435262579702,1121.1173071765602,-176.5577862404592,792.9914987514161,1144.29019649027,1.4430043680064442,1120.9307967117513,63.57286972004392,792.6416996984699,1120.9984961899147,1.4142562731892045,1120.9549772184246,-56.41728413881059,792.6502480295402,1120.9984773240872,1.4142409973513441,3383.893125679571,-129.70884690098038,2393.1433508840946,3422.737488598978,1.4302266879811116,3387.3958329237926,110.35958011397443,2395.341335165612,3387.652458639614,1.4142671062808652,3387.972302591814,-9.642264680225654,2395.545148338058,3387.6525805100664,1.4141468311963548,4444.563788957688,-137.16074187090257,3143.3708093140876,4501.83956444571,1.4321694249709127,4448.975238664898,102.92398771165512,3146.0421172729766,4449.375631816683,1.414277198448141,4449.743790110954,-17.075293461994494,3146.313840233765,4449.375494484996,1.4141550145405761,1121.119135128165,-176.55757885741403,792.9927914158825,1144.291804139932,1.4430040430718265,1120.9326325372906,63.573077069443954,792.6429980909659,1121.0003297165108,1.414256269741074,1120.9568160873332,-56.41707679821804,792.6515480671225,1121.0003111133433,1.4142409913244955,1121.1222896795337,-176.55743919245634,1120.9357926116297,63.57321675977248,1120.959977169086,-56.41693711391698,1121.1176610107357,-176.55769156478542,1120.9311544641891,63.57296440201426,1120.955335861336,-56.41718946090404,4444.563788957688,-137.16074187090257,4448.975238664898,102.92398771165512,4449.743790110954,-17.075293461994494,1765.8896110382593,-88.95178391983396,1766.0833458241075,151.0527457736019,1766.0721606170089,31.04282994478658,1121.1222896795337,-176.55743919245634,1120.9357926116297,63.57321675977248,1120.959977169086,-56.41693711391698,0.8345195069315378,2431.718598385701,1.0635871849074965,0.8773206147965679,1121.000326806094,0.8983774130629681,0.7091150093232084,1720.0827571610373,1718.5233181497392,1.0009074296489482,0.16291937562520584,792.9914987514161,792.6416996984699,1.0004413079113543
1,25,BC,LL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25,ABC,LLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25,ABC,LLL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25,ABC,LLLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50,AG,LG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.338718629332,-115.98433963497871,1718.6567478619256,2448.207556851192,1.42448895621354,2432.3536443216267,124.05171427886768,1719.9658321752108,2432.444350025462,1.4142399253066509,2430.338718629332,-115.98433963497871,1718.6567478619256,2448.207556851192,1.42448895621354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.1212200674038,-176.54382489047003,1121.1212200674038,-176.54382489047003,1120.9570754173228,-56.417071626050074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50,BC,LL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2434.378850539437,-115.93020604063608,1721.5264411704493,2452.892734174828,1.4248359336886687,2434.4226008444352,124.02317619331191,1721.5364028253791,2454.278093830986,1.4256324117242214,2434.378850539437,-115.93020604063608,1721.5264411704493,2452.892734174828,1.4248359336886687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.1132129290463,-176.29410012791072,1121.1132129290463,-176.29410012791072,1120.9570743953939,-56.417071595209954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50,ABC,LLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.3387278848554,-115.98433951112352,1718.6567534673848,2448.2074782544323,1.4244889058360148,2435.144265075403,124.01323529857751,1722.1347195122921,2461.8928549036227,1.429558806874778,2430.3387278848554,-115.98433951112352,1718.6567534673848,2448.2074782544323,1.4244889058360148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.1212200357197,-176.54382426542028,1121.1212200357197,-176.54382426542028,1120.9570752580587,-56.417071622275834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50,ABC,LLL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.331897653128,-115.9844312859978,1718.6525875636103,2448.262573686795,1.4245244160470452,2433.975414281742,124.02933965161365,1721.1787466062592,2449.559718924032,1.4231872917057342,2430.331897653128,-115.9844312859978,1718.6525875636103,2448.262573686795,1.4245244160470452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.1212516358942,-176.54424682832766,1121.1212516358942,-176.54424682832766,1124.7297439415245,-56.527558332139726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50,ABC,LLLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.331890263457,-115.9844313051572,1718.6525827608702,2448.2626056103395,1.4245244386026013,2435.1591470701624,124.0130303719607,1722.147332200415,2462.0498756330003,1.4296395143423648,2430.331890263457,-115.9844313051572,1718.6525827608702,2448.2626056103395,1.4245244386026013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.1212516370297,-176.5442470700052,1121.1212516370297,-176.5442470700052,1124.011539556753,-56.50659148891062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
