zone,position,fault_type,I_in_R1_A,I_out_SE_A,differential_ratio,diff_relay_operates
1,25,AG,1718.5233,792.9928,0.538562,0
1,25,BC,0.0,0.0,0.0,1
1,25,ABC,0.0,0.0,0.0,1
1,25,ABC,0.0,0.0,0.0,1
1,25,ABC,0.0,0.0,0.0,1
1,50,AG,0.0,0.0,0.0,1
1,50,BC,0.0,0.0,0.0,1
1,50,ABC,0.0,0.0,0.0,1
1,50,ABC,0.0,0.0,0.0,1
1,50,ABC,0.0,0.0,0.0,1
1,75,AG,0.0,0.0,0.0,1
1,75,BC,0.0,0.0,0.0,1
1,75,ABC,0.0,0.0,0.0,1
1,75,ABC,0.0,0.0,0.0,1
1,75,ABC,0.0,0.0,0.0,1
2,25,AG,1719.0383,792.8169,0.538802,0
2,25,BC,0.0,0.0,0.0,1
2,25,ABC,1719.0379,792.817,0.538802,0
2,25,ABC,1719.0348,792.8178,0.538801,0
2,25,ABC,1719.0348,792.8178,0.538801,0
2,50,AG,1719.1619,792.788,0.538852,0
2,50,BC,1721.0069,792.827,0.539324,0
2,50,ABC,1719.1614,792.7881,0.538852,0
2,50,ABC,1719.1587,792.7887,0.538851,0
2,50,ABC,1719.1587,792.7887,0.538851,0
2,75,AG,1719.2853,792.7639,0.538899,0
2,75,BC,1720.8778,792.8002,0.539305,0
2,75,ABC,1719.2849,792.7639,0.538899,0
2,75,ABC,1719.2824,792.7644,0.538898,0
2,75,ABC,1719.2824,792.7644,0.538898,0
3,25,AG,0.0,0.0,0.0,1
3,25,BC,0.0,0.0,0.0,1
3,25,ABC,0.0,0.0,0.0,1
3,25,ABC,0.0,0.0,0.0,1
3,25,ABC,0.0,0.0,0.0,1
3,50,AG,0.0,0.0,0.0,1
3,50,BC,0.0,0.0,0.0,1
3,50,ABC,0.0,0.0,0.0,1
3,50,ABC,0.0,0.0,0.0,1
3,50,ABC,0.0,0.0,0.0,1
3,75,AG,0.0,0.0,0.0,1
3,75,BC,0.0,0.0,0.0,1
3,75,ABC,0.0,0.0,0.0,1
3,75,ABC,0.0,0.0,0.0,1
3,75,ABC,0.0,0.0,0.0,1
