zone,position,fault_type,Z_fault,Z_setting_zone,distance_relay_operates,V_R1_A_mag,I_R1_A_rms
1,25,AG,1.414073,0.25,0,2430.1181,1718.5233
1,25,BC,0.0,0.25,0,0.0,0.0
1,25,ABC,0.0,0.25,0,0.0,0.0
1,25,ABC,0.0,0.25,0,0.0,0.0
1,25,ABC,0.0,0.25,0,0.0,0.0
1,50,AG,0.0,0.25,0,0.0,0.0
1,50,BC,0.0,0.25,0,0.0,0.0
1,50,ABC,0.0,0.25,0,0.0,0.0
1,50,ABC,0.0,0.25,0,0.0,0.0
1,50,ABC,0.0,0.25,0,0.0,0.0
1,75,AG,0.0,0.25,0,0.0,0.0
1,75,BC,0.0,0.25,0,0.0,0.0
1,75,ABC,0.0,0.25,0,0.0,0.0
1,75,ABC,0.0,0.25,0,0.0,0.0
1,75,ABC,0.0,0.25,0,0.0,0.0
2,25,AG,1.414133,0.5,0,2430.9489,1719.0383
2,25,BC,0.0,0.5,0,0.0,0.0
2,25,ABC,1.414133,0.5,0,2430.9483,1719.0379
2,25,ABC,1.414133,0.5,0,2430.9434,1719.0348
2,25,ABC,1.414133,0.5,0,2430.9434,1719.0348
2,50,AG,1.414143,0.5,0,2431.1405,1719.1619
2,50,BC,1.414128,0.5,0,2433.7246,1721.0069
2,50,ABC,1.414143,0.5,0,2431.1398,1719.1614
2,50,ABC,1.414143,0.5,0,2431.1355,1719.1587
2,50,ABC,1.414143,0.5,0,2431.1355,1719.1587
2,75,AG,1.414151,0.5,0,2431.3289,1719.2853
2,75,BC,1.414137,0.5,0,2433.5578,1720.8778
2,75,ABC,1.414151,0.5,0,2431.3283,1719.2849
2,75,ABC,1.414151,0.5,0,2431.3246,1719.2824
2,75,ABC,1.414151,0.5,0,2431.3246,1719.2824
3,25,AG,0.0,0.75,0,0.0,0.0
3,25,BC,0.0,0.75,0,0.0,0.0
3,25,ABC,0.0,0.75,0,0.0,0.0
3,25,ABC,0.0,0.75,0,0.0,0.0
3,25,ABC,0.0,0.75,0,0.0,0.0
3,50,AG,0.0,0.75,0,0.0,0.0
3,50,BC,0.0,0.75,0,0.0,0.0
3,50,ABC,0.0,0.75,0,0.0,0.0
3,50,ABC,0.0,0.75,0,0.0,0.0
3,50,ABC,0.0,0.75,0,0.0,0.0
3,75,AG,0.0,0.75,0,0.0,0.0
3,75,BC,0.0,0.75,0,0.0,0.0
3,75,ABC,0.0,0.75,0,0.0,0.0
3,75,ABC,0.0,0.75,0,0.0,0.0
3,75,ABC,0.0,0.75,0,0.0,0.0
